Wall time,Step,cm00,cm01,cm10,cm11,accuracy
1537081438.80297,0,0.7153838873,0,0.2846161127,0,71.5383911133
1537083584.52348,1,0.5977707505,0.1176131442,0.1498991102,0.1347170174,73.2487716675
1537085706.10291,2,0.7029883862,0.012395503,0.1871817112,0.0974344164,80.0422821045
1537087840.3397,3,0.7004900575,0.0148938214,0.189680025,0.0949361026,79.5426177979
1537090000.70806,4,0.6437013745,0.0716825202,0.1342365742,0.1503795534,79.4080886841
1537092247.57702,5,0.6999135017,0.0154703567,0.1790141314,0.1056019962,80.5515518188
1537094491.68559,6,0.7042375207,0.0111463442,0.1796867549,0.1049293727,80.9166870117
1537096716.33191,7,0.6992409229,0.0161429811,0.1621024311,0.1225136891,82.1754608154
1537098951.76711,8,0.6349572539,0.0804266334,0.1196310148,0.1649851054,79.9942321777
1537101175.17289,9,0.7032766342,0.0121072354,0.1653694659,0.1192466617,82.2523269653
1537103408.94003,10,0.6929950714,0.0223887768,0.1326991469,0.1519169807,84.4912109375
1537105642.10195,11,0.7040453553,0.0113385217,0.1803593785,0.1042567492,80.8302078247
1537107890.58347,12,0.7045258284,0.0108580766,0.168348223,0.1162678972,82.0793685913
1537110146.43382,13,0.7001057267,0.0152781783,0.1528778672,0.1317382604,83.1843948364
1537112425.57277,14,0.7048140764,0.010569809,0.145382911,0.1392332017,84.4047241211
1537114709.51557,15,0.6974151731,0.0179686751,0.1398097426,0.144806385,84.2221603394
1537117022.89263,16,0.7010666132,0.0143172862,0.1466320753,0.1379840523,83.9050674438
1537119336.98217,17,0.7042375207,0.0111463442,0.1558566391,0.1287594885,83.2997055054
1537121652.27935,18,0.7083693743,0.0070145093,0.2078408748,0.0767752454,78.5144577026
1537123950.54873,19,0.6989526153,0.0164312478,0.135101378,0.1495147496,84.8467407227
1537126260.59438,20,0.6977034807,0.0176804066,0.1333717704,0.1512443572,84.89478302
1537128569.64114,21,0.7047179937,0.0106658982,0.1536465883,0.1309695393,83.5687484741
1537130801.75922,22,0.704621911,0.0107619874,0.153454408,0.1311617196,83.5783615112
1537133076.68818,23,0.6957817078,0.0196021907,0.1498991102,0.1347170174,83.0498733521
1537135342.31542,24,0.7040453553,0.0113385217,0.1452868283,0.1393292993,84.3374633789
1537137630.95569,25,0.7001057267,0.0152781783,0.1320265234,0.1525896043,85.26953125
1537139936.87124,26,0.6953012347,0.0200826358,0.1326991469,0.1519169807,84.721824646
1537142225.60411,27,0.6998174191,0.0155664459,0.1274142414,0.1572018862,85.7019348145
1537144514.37869,28,0.7013548613,0.0140290186,0.1370231509,0.1475929618,84.89478302
1537146800.55112,29,0.6953012347,0.0200826358,0.1319304258,0.1526856869,84.7986907959
1537149083.42738,30,0.6906889677,0.0246949177,0.1096377447,0.1749783754,86.566734314
1537151399.29565,31,0.6990486979,0.0163351595,0.1269337982,0.1576823294,85.6731033325
1537153747.95563,32,0.70894593,0.0064379745,0.176707983,0.1079081371,81.6854019165
1537156043.33538,33,0.6640722752,0.0513116159,0.1102142781,0.1744018495,83.8474121094
1537158326.11944,34,0.7039492726,0.0114346109,0.1559527218,0.1286634058,83.2612686157
1537160549.91489,35,0.7059671283,0.0094167385,0.154030934,0.1305851787,83.6552352905
1537162755.30763,36,0.6994330883,0.0159508027,0.1287594885,0.1558566391,85.528968811
1537164948.80528,37,0.7121168375,0.0032670319,0.2027481496,0.0818679705,79.3984832764
1537167157.1958,38,0.7002018094,0.0151820891,0.1418276131,0.1427885145,84.2990264893
1537169351.65171,39,0.7015470266,0.0138368402,0.1284712255,0.1561449021,85.7691955566
1537171598.72332,40,0.6974151731,0.0179686751,0.1330835074,0.1515326202,84.89478302
1537173762.35444,41,0.7048140764,0.010569809,0.1486499459,0.1359661818,84.0780258179
1537175936.5266,42,0.7023157477,0.0130681274,0.138080135,0.1465359926,84.8851699829
1537178108.98814,43,0.683578372,0.0318055153,0.1197271049,0.1648890227,84.8467407227
1537180133.99119,44,0.6990486979,0.0163351595,0.1362544447,0.1483616829,84.7410430908
1537182177.49165,45,0.6908811331,0.0245027393,0.1106947213,0.1739214063,86.480255127
1537184276.07302,46,0.7038531899,0.0115307001,0.1496108323,0.1350052804,83.885848999
1537186347.10936,47,0.6923224926,0.0230614003,0.1223215163,0.1622946113,85.4617080688
1537188438.48136,48,0.6933794618,0.0220044199,0.1214567125,0.1631594151,85.6538848877
1537190599.81895,49,0.6249639392,0.0904199108,0.0975305066,0.1870856136,81.2049560547
